author	place	region		
Малотифлисскаягуберния	1	?Грузия	?Грузия		
Kezenoy-Am	1	?	?Дагестан, Чечня		
dnipro	1	?Днепропетровск	?Днепропетровская область		
Сiчеславськ	1	?Днепропетровск	?Днепропетровская область		
DP	1	?Днепропетровская область	?Днепропетровская область		
IF	1	?Ивано-Франковск	?Ивано-Франковская область		
YeminOrde	1	?	?Израиль		
בַּתיָם‎	1	?	?Израиль		
Освобождённыетерритории	1	?Западный берег	?Израиль		
J-m	1	?Иерусалим	?Израиль		
IL	2	?Израиль	?Израиль		
Kesalon	2	?Ксалон	?Израиль		
РГ	1	?Рамат-Ган	?Израиль		
Р-Г	1	?Рамат-Ган	?Израиль		
"T""A"	1	?Тель-Авив	?Израиль		
T-A	4	?Тель-Авив	?Израиль		
TLV	4	?Тель-Авив	?Израиль		
Т-А	2	?Тель-Авив	?Израиль		
Пардес	1	Пардес	?Израиль		
41	1	??Иркутская область	?Иркутская область		
бцн	1	?Barcelona	?Испания		
Aksu	1	Аксу	?Казахстан		
Кунилинград	1	?Калининград	?Калининградская область		
Tsarstvo3/9	1	?Калининградская область	?Калининградская область		
тредевятоецарство	1	?Калининградская область	?Калининградская область		
ON	1	?Ontario	?Канада		
42	1	?Кемеровская область	?Кемеровская область		
Kuev	1	?Киев	?Киев		
Kuiv	1	?Киев	?Киев		
Киве	1	?Киев	?Киев		
КиевскCity	1	?Киев	?Киев		
Кияния	1	?Киевская область	?Киевская область		
Кыштытыргызстан	1	?Киргизия	?Киргизия		
45	1	??Кировская область	?Кировская область		
VorkuteD.C	1	?Воркута	?Коми		
Сыр!	1	?Сыктывкар	?Коми		
Новоалексеевская	1	?Новоалексеевская	?Краснодарский край		
острогнаКрасномяру	1	?Красноярск	?Красноярский край		
Rigah	1	?Рига	?Латвия		
Vaipooli	1	?Ленинградская область	?Ленинградская область		
Красноесело	1	Красное Село	?Ленинградская область		
Tripoli	1	Триполи	?Ливия		
50	1	??Липецкая область	?Липецкая область		
Липа	1	?Липецк	?Липецкая область		
Рубежное	3	Рубежное	?Луганская область		
Йошкар-Ата	1	?Йошкар-Ола	?Марий Эл		
Mentsk	1	?Минск	?Минск		
Bender	1	?Бендеры	?Молдавия		
13	1	??Мордовия	?Мордовия		
77	2	?Москва	?Москва		
mos	1	?Москва	?Москва		
д.Ховрино	1	?Москва	?Москва		
Казсква	1	?Москва	?Москва		
Ква-квасказалилягушки	1	?Москва	?Москва		
моск	1	?Москва	?Москва		
Почт, Москва	1	?Москва	?Москва		
почт, Москва	1	?Москва	?Москва		
Алкашиха	1	?Балашиха	?Московская область		
Вск	1	?Воскресенск	?Московская область		
"станция""Турист"""	1	?Деденево	?Московская область		
IronRoadCity	1	?Железнодорожный	?Московская область		
жуковский	1	?Жуковский	?Московская область		
Котлас	1	?Котельники	?Московская область		
посёлоким.Михельсона	1	?Люберцы	?Московская область		
БлижайшееЗаМКАДье:)	1	?Московская область	?Московская область		
КняжествоМосковское	1	?Московская область	?Московская область		
Храпуново	1	?Московская область	?Московская область		
Центральнаягуберния	1	?Московская область	?Московская область		
Московский	1	?Московский	?Московская область		
Падонsk	1	?Подольск	?Московская область		
Дроидск	1	?Троицк	?Московская область		
ChG	1	?Черноголовка	?Московская область		
Chg	1	?Черноголовка	?Московская область		
щи	1	?Щелково	?Московская область		
Що	1	?Щелково	?Московская область		
Юб	1	?Юбилейный	?Московская область		
Дзержинский	8	Дзержинский	?Московская область		
Красноармейск-Москва	1	Красноармейск, Москва	?Московская область		
пос.Правдинский	1	Правдинский	?Московская область		
Правдинский	2	Правдинский	?Московская область		
Зеландия	1	?	?Нидерланды		
Adam	1	?Amsterdam	?Нидерланды		
HH	1	?Нижний Новгород	?Нижегородская область		
NN	10	?Нижний Новгород	?Нижегородская область		
Нижний	2	?Нижний Новгород	?Нижегородская область		
nikolaevskaj	1	?Николаевская область	?Николаевская область		
НоваяСибирь	1	?Новосибирск	?Новосибирская область		
Frechtown	1	?Одесса	?Одесская область		
Od	1	?Одесса	?Одесская область		
О-сити	1	?Омск	?Омская область		
Кочево	1	?Кочево	?Пермский край		
СПболь	1	?Петербург	?Петербург		
Петропавловск	2	?Петропавловск	?Петропавловская область		
VereinigtesBaltischesHerzogtum	1	?Прибалтика	?Прибалтика		
ЁбаныеКамни	1	?Большие Камни	?Приморский край		
Vl	1	?Владивосток	?Приморский край		
vlad	1	?Владивосток	?Приморский край		
vv	1	?Владивосток	?Приморский край		
Остров	1	??	?Псковская область		
Ostroh	1	?Острог	?Ровненская область		
Ростов-Москва	2	?Ростов-на-Дону	?Ростовская область		
Moscow/Rostov	1	Москва, ?Ростов	?Ростовская область		
Пролетарск-Беспонтовый	1	Пролетарск	?Ростовская область		
ПальмироТольятти	1	?Тольятти	?Самарская область		
66	1	?Сахалинская область	?Сахалинская область		
Trfnthby	1	?Екатеринбург	?Свердловская область		
Ё	1	?Екатеринбург	?Свердловская область		
Зионск	1	?Екатеринбург	?Свердловская область		
Siberia	1	Сибирь	?Сибирский ФО		
Сибирь	7	Сибирь	?Сибирский ФО		
AL	2	?Alabama	?США		
AK	3	?Alaska	?США		
CO	1	?Colorado	?США		
DC	2	?District of Columbia	?США		
HI	1	?Hawaii	?США		
ME	1	?Maine	?США		
EastVillage	1	?New York	?США		
FranklinSquare	1	?New York	?США		
SC	1	?South Carolina	?США		
SD	1	?South Dakota	?США		
TN	1	?Tennessee	?США		
TX	2	?Texas	?США		
CA	2	?Калифорния	?США		
НовыйАмстердам	1	New York	?США		
Newton	2	Newton	?США		
Frisco	1	San Francisco	?США		
Georgia	12	?	?США ?Грузия		
Мичурин	1	?Мичуринск	?Тамбовская область		
Лениногорск	4	?Лениногорск	?Татарстан		
NewMoscow	1	?Новомосковск	?Тульская область		
Newmsk	1	?Новомосковск	?Тульская область		
Monastir	1	?Монастир	?Тунис		
Константинополь	1	?Стамбул	?Турция		
Стамбульск	1	?Турция	?Турция		
ПервыйгородСибири	1	?Тюмень	?Тюменская область		
Устиновск	1	?Ижевск	?Удмуртия		
Banderstadt	1	?	?Украина		
Dobryvody	1	?	?Украина		
(штати/регіони/території)	17	?Украина	?Украина		
Краків	1	?Украина, Польша	?Украина		
74	2	??Ульяновская область	?Ульяновская область		
ДД	1	?Димитровград	?Ульяновская область		
Красноленинск	1	?Красноленинский	?Ханты-Мансийский АО		
НЮ(с)	1	?Нефтеюганск	?Ханты-Мансийский АО		
Khersónisos	1	?Херсон	?Херсонская область		
КопенГаген	1	?Копейск	?Челябинская область		
Снеж	1	?Снежинск	?Челябинская область		
Лесоповальск	1	?Челябинск	?Челябинская область		
Чухассы	1	?Черкассы	?Черкасская область		
СамыйГрозный	1	?Грозный	?Чечня		
JANAO	1	?Ямало-Ненецкий АО	?Ямало-Ненецкий АО		
Яр	1	?Ярославль	?Ярославская область		
Ярград	1	?Ярославль	?Ярославская область		
ηπατρίδαπουδενείναιπιαδικήμας	1	?	[сообщество греков-понтийцев]		
Абхазия	1	Абхазия	Абхазия		
sukhum	1	Сухум	Абхазия		
АҞӘА	1	Сухум	Абхазия		
Сухум	3	Сухум	Абхазия		
Сухуми(до1992)	1	Сухум	Абхазия		
BoltonPoint	1	Bolton Point	Австралия		
Brisbane	6	Brisbane	Австралия		
BrisbaneCity	1	Brisbane	Австралия		
Cairns	1	Cairns	Австралия		
Canberra	1	Canberra	Австралия		
GoldCoast	1	Gold Coast	Австралия		
Hobart	1	Hobart	Австралия		
Illawarra	1	Illawarra	Австралия		
Ingleburn	1	Ingleburn	Австралия		
Melbourne	17	Melbourne	Австралия		
Melbourne(Boronia)	1	Melbourne	Австралия		
Melbourne~	1	Melbourne	Австралия		
Мельбурн	1	Melbourne 	Австралия		
NorfolkIsland	4	Norfolk Island	Австралия		
Perth	4	Perth	Австралия		
QLD	2	Queensland	Австралия		
N.Ringwood	1	Ringwood North	Австралия		
Sidney	1	Sidney	Австралия		
Сидней	1	Sidney	Австралия		
Sydney	24	Sydney	Австралия		
UminaBeach	1	Umina Beach	Австралия		
VictoriaState	1	Victoria	Австралия		
Australia	28	Австралия	Австралия		
Adelaide	5	Аделаида	Австралия		
ChristmasIsland	9	остров Рождества	Австралия		
Feldkirchen	1	Feldkirchen	Австрия		
Graz	3	Graz	Австрия		
Innsbruck	1	Innsbruck	Австрия		
Linz	1	Linz	Австрия		
Vienna	11	Wien	Австрия		
ViennaDonauCity	1	Wien	Австрия		
Wien	6	Wien	Австрия		
Вена	1	Wien	Австрия		
Austria	12	Австрия	Австрия		
1	1	??Адыгея	Адыгея		
АдыгеяРеспублика	7	Адыгея	Адыгея		
Maykop	1	Майкоп	Адыгея		
Майкоп	12	Майкоп	Адыгея		
Энем	1	Энем	Адыгея		
Azerbaijan	15	Азербайджан	Азербайджан		
Bakı	1	Баку	Азербайджан		
baku	1	Баку	Азербайджан		
Baku	27	Баку	Азербайджан		
Баку	11	Баку	Азербайджан		
Asia	2	Азия	Азия		
шокинэйжа	1	Азия	Азия		
Korçë	1	Korce	Албания		
Tirana	2	Tirana	Албания		
Albania	30	Албания	Албания		
Albany	1	Албания	Албания		
Algeria	9	Алжир	Алжир		
Oran	1	Оран	Алжир		
Alma-Ata	1	Алма-Ата	Алма-Ата		
aLMATY	1	Алма-Ата	Алма-Ата		
almaty	1	Алма-Ата	Алма-Ата		
Almaty	63	Алма-Ата	Алма-Ата		
AlmatyCity	1	Алма-Ата	Алма-Ата		
almaty-rishekesh-delhi-goa-...	1	Алма-Ата	Алма-Ата		
Алма-Ата	6	Алма-Ата	Алма-Ата		
Алмата	2	Алма-Ата	Алма-Ата		
Алматы	15	Алма-Ата	Алма-Ата		
ГородЯблок	1	Алма-Ата	Алма-Ата		
Kaskelen	1	Каскелен	Алма-Атинская область		
Питер-Алма-Ата	1	Петербург, Алма-Ата	Алма-Атинская область, Петербург		
Алтайскийкрай	22	Алтайский край	Алтайский край		
barnaul	1	Барнаул	Алтайский край		
Barnaul	9	Барнаул	Алтайский край		
Барнаул	109	Барнаул	Алтайский край		
Барнаул-Москва	2	Барнаул, Москва	Алтайский край		
Biysk	1	Бийск	Алтайский край		
Бийск	10	Бийск	Алтайский край		
БыстрыйИсток	1	Быстрый Исток	Алтайский край		
Каначак	1	Каначак	Алтайский край		
Новоалтайск	1	Новоалтайск	Алтайский край		
Рубцовск	4	Рубцовск	Алтайский край		
Амурск	2	Амурск	Амурская область		
Амурскаяобласть	2	Амурская область	Амурская область		
Blagoveshensk	1	Благовещенск	Амурская область		
Благовещенск	22	Благовещенск	Амурская область		
Огоджа	1	Огоджа	Амурская область		
Свободный	2	Свободный	Амурская область		
Tynda	1	Тында	Амурская область		
Тында	1	Тында	Амурская область		
Благовещенск-Екатеринбург-Санкт-Петербург	1	Благовещенск, Екатеринбург, Петербург	Амурская область, Свердловская область, Петербург		
Anguilla	8	Anguilla	Ангилья		
Angola	6	Ангола	Ангола		
Andorra	12	Andorra	Андорра		
BuenosAeres	1	Buenos Aires	Аргентина		
BuenosAires	11	Buenos Aires	Аргентина		
SantaRosadeCalamuchita	1	Santa Rosa de Calamuchita	Аргентина		
VillaBallester	1	Villa Ballester	Аргентина		
Argentina	8	Аргентина	Аргентина		
Armenia	21	Армения	Армения		
EREVAN	1	Ереван	Армения		
Erevan	3	Ереван	Армения		
Yerevan	41	Ереван	Армения		
Yervan	1	Ереван	Армения		
Ереван	9	Ереван	Армения		
ЕреванЪ	1	Ереван	Армения		
Aruba	7	Aruba	Аруба		
Ар-ск	1	Архангельск	Архангельск		
Archangelsk	1	Архангельск	Архангельская область		
Arkhangelsk	4	Архангельск	Архангельская область		
Архангельск	61	Архангельск	Архангельская область		
Архангельск/Arkhangelsk	1	Архангельск	Архангельская область		
Архангельскаяобласть	18	Архангельская область	Архангельская область		
БольшаяШалга	1	Большая Шалга	Архангельская область		
Вельск	1	Вельск	Архангельская область		
Котовск	1	Котлас	Архангельская область		
Лядины(Архангельскаяобласть)	1	Лядины	Архангельская область		
д.МикшинаГора	1	Микшина Гора	Архангельская область		
Mirny	1	Мирный	Архангельская область		
Мирный	5	Мирный	Архангельская область		
Мирный(Плесецк)	1	Мирный	Архангельская область		
Moscow-Arkhangelsk	1	Москва, Архангельск	Архангельская область		
Severodvinsk	1	Северодвинск	Архангельская область		
Северодвинск	21	Северодвинск	Архангельская область		
Питер/Архангельск	1	Архангельск, Петербург	Архангельская область, Петербург		
Архангельск-Челябинск-Дели	1	Архангельск, Челябинск	Архангельская область, Челябинская область		
Astana	9	Астана	Астана		
Астана	4	Астана	Астана		
Целиноград	1	Астана	Астана		
Астраханскаяобласть	17	Астраханская область	Астраханская область		
Astrakhan	7	Астрахань	Астраханская область		
Астрахант	1	Астрахань	Астраханская область		
Астрахань	117	Астрахань	Астраханская область		
Ахтубинск	2	Ахтубинск	Астраханская область		
Нариманов	1	Нариманов	Астраханская область		
Atyrau	1	Атырау	Атырауская область		
Гурьевск	1	Атырау	Атырауская область		
Afghanistan	10	Афганистан	Афганистан		
Kabul	1	Кабул	Афганистан		
Кабул	2	Кабул	Афганистан		
Bahamas	10	Багамские Острова	Багамские Острова		
Bangladesh	6	Бангладеш	Бангладеш		
Holetown	1	Holetown	Барбадос		
Barbados	14	Барбадос	Барбадос		
Bahrain	6	Бахрейн	Бахрейн		
Manama	1	Манама	Бахрейн		
Агидель	1	Агидель	Башкирия		
Азнакай	1	Азнакаево	Башкирия		
БашкортостанРеспублика	20	Башкирия	Башкирия		
Belebey	1	Белебей	Башкирия		
Белебей	2	Белебей	Башкирия		
Белорецк	4	Белорецк	Башкирия		
г.Белорецк	1	Белорецк	Башкирия		
Давлеканово	1	Давлеканово	Башкирия		
Исянгулово	1	Исянгулово	Башкирия		
Ишимбай	1	Ишимбай	Башкирия		
Ишимбай-Уфа-Москва-Бали-Париж	1	Ишимбай, Уфа, Москва	Башкирия		
Кумертау	2	Кумертау	Башкирия		
Мелеуз	3	Мелеуз	Башкирия		
Moscow-Стерлитамак	1	Москва, Стерлитамак	Башкирия		
Москва-Уфа-Москва-Уфа	1	Москва, Уфа	Башкирия		
Нефтекамск	2	Нефтекамск	Башкирия		
Николо-Берёзовка	1	Николо-Березовка	Башкирия		
Приютово-Уфа-Москва	1	Приютово	Башкирия		
Salavat	2	Салават	Башкирия		
г.Салават	1	Салават	Башкирия		
Салават	3	Салават	Башкирия		
Сибай	3	Сибай	Башкирия		
Стерлитамак	5	Стерлитамак	Башкирия		
Стерлитамак-Москва	1	Стерлитамак, Москва	Башкирия		
Тавтиманово	1	Тавтиманово	Башкирия		
Tolbazy	1	Толбазы	Башкирия		
Туймазы	3	Туймазы	Башкирия		
sk8cityufa	1	Уфа	Башкирия		
ufa	3	Уфа	Башкирия		
Ufa	51	Уфа	Башкирия		
УФА	3	Уфа	Башкирия		
уфа	5	Уфа	Башкирия		
Уфа	299	Уфа	Башкирия		
Уфаа	1	Уфа	Башкирия		
ЭФЭ	1	Уфа	Башкирия		
Уфа-Ишимбай	1	Уфа, Ишимбай	Башкирия		
Ufa/Moscow	1	Уфа, Москва	Башкирия		
учалы	1	Учалы	Башкирия		
Учалы	2	Учалы	Башкирия		
Уфа-Сочи	1	Уфа, Сочи	Башкирия, Краснодарский край		
Уфа-Москва	2	Уфа, Москва	Башкирия, Москва		
Ufa/Saint-Petersburg	1	Уфа, Петербург	Башкирия, Петербург		
Уфа--Екатеринбург-Питер-Загреб	1	Уфа, Екатеринбург, Петербург	Башкирия, Свердловская область, Петербург		
Belgorod	12	Белгород	Белгородская область		
БЕЛГОРОД	1	Белгород	Белгородская область		
белгород	1	Белгород	Белгородская область		
Белгород	83	Белгород	Белгородская область		
ПоездБелгород-Москва	1	Белгород, Москва	Белгородская область		
Белгородскаяобласть	16	Белгородская область	Белгородская область		
Бирюч	1	Бирюч	Белгородская область		
Moscow-Belgorod	1	Москва, Белгород	Белгородская область		
Москва-Белгород	1	Москва, Белгород	Белгородская область		
НовыйОскол	1	Новый Оскол	Белгородская область		
StaryjOskol	1	Старый Оскол	Белгородская область		
Старыйоскол	1	Старый Оскол	Белгородская область		
СтарыйОскол	11	Старый Оскол	Белгородская область		
Шебекино	2	Шебекино	Белгородская область		
Белгород-СПб	1	Белгород, Петербург	Белгородская область, Петербург		
Belmopan	1	Belmopan	Белиз		
Belize	2	Белиз	Белиз		
Лисовичі	1	?	Белоруссия		
Belarus	294	Белоруссия	Белоруссия		
БелаяРусь	1	Белоруссия	Белоруссия		
Antwerp	1	Antwerpen	Бельгия		
Antwerpen	1	Antwerpen	Бельгия		
Brussels	4	Bruxelles	Бельгия		
Bruxelles	2	Bruxelles	Бельгия		
Брюссель	2	Bruxelles	Бельгия		
Gent	1	Gent	Бельгия		
Ghent	1	Gent	Бельгия		
Hasselt	1	Hasselt	Бельгия		
Leuven	3	Leuven	Бельгия		
LimburgProvince	1	Limburg	Бельгия		
Waterloo	2	Waterloo	Бельгия		
Westerlo	1	Westerlo	Бельгия		
Belgium	15	Бельгия	Бельгия		
Benin	9	Бенин	Бенин		
Банско	1	Банско	Болгария		
Blagoevgrad	3	Благоевград	Болгария		
Bulgaria	11	Болгария	Болгария		
burgas	1	Бургас	Болгария		
Burgas	2	Бургас	Болгария		
Бургас	3	Бургас	Болгария		
Byaga	1	Бяга	Болгария		
Varna	4	Варна	Болгария		
Варна	1	Варна	Болгария		
Vratsa	2	Враца	Болгария		
Pleven	1	Плевен	Болгария		
Свиленград	1	Свиленград	Болгария		
Sofia	5	София	Болгария		
София	1	София	Болгария		
Софія	1	София	Болгария		
Cochabamba	1	Cochabamba	Боливия		
Bolivia	5	Боливия	Боливия		
BosniaandHerzegovina	1	Босния и Герцеговина	Босния и Герцеговина		
Mostar	1	Мостар	Босния и Герцеговина		
Botswana	10	Ботсвана	Ботсвана		
JoaoPessoa	1	João Pessoa	Бразилия		
JoãoPessoa	1	João Pessoa	Бразилия		
RiodeJaneiro	2	Rio de Janeiro	Бразилия		
SaoPaulo	2	São Paulo	Бразилия		
SãoPaulo	3	São Paulo	Бразилия		
SãoBernardodoCampo	1	São Bernardo do Campo	Бразилия		
Brasilia	1	Бразилия	Бразилия		
Brazil	11	Бразилия	Бразилия		
Baranovichi	2	Барановичи	Брестская область		
Baranovichy	1	Барановичи	Брестская область		
Baranowicze	1	Барановичи	Брестская область		
Баранавічы	1	Барановичи	Брестская область		
Барановичи	2	Барановичи	Брестская область		
Brest	18	Брест	Брестская область		
Берасьце	2	Брест	Брестская область		
Брест	13	Брест	Брестская область		
Брэст	1	Брест	Брестская область		
BrestProvince	1	Брестская область	Брестская область		
David-gorodok	1	Давид-Городок	Брестская область		
Pinsk	2	Пинск	Брестская область		
Пинск	1	Пинск	Брестская область		
Брест-Гомель	1	Брест, Гомель	Брестская область, Гомельская область		
Brest\Grodno	1	Брест, Гродно	Брестская область, Гродненская область		
VirginIslands(British)	4	Британские Виргинские острова	Британские Виргинские острова		
Бандар-Сери-Бегаван	1	Бандар-Сери-Бегаван	Бруней		
BruneiDarussalam	5	Бруней	Бруней		
Bryansk	10	Брянск	Брянская область		
брянск	2	Брянск	Брянская область		
Брянск	61	Брянск	Брянская область		
Брянск-Москва	1	Брянск, Москва	Брянская область		
Брянскаяобласть	6	Брянская область	Брянская область		
Дятьково	1	Дятьково	Брянская область		
Москва-Брянск	1	Москва, Брянск	Брянская область		
Навля	1	Навля	Брянская область		
Новозыбков	3	Новозыбков	Брянская область		
Овстуг(Брянскаяобласть)	1	Овстуг	Брянская область		
Санкт-Петербург-Москва-Брянск	1	Петербург, Москва, Брянск	Брянская область, Москва, Петербург		
BurkinaFaso	9	Буркина-Фасо	Буркина-Фасо		
Ouagadougou	1	Уагадугу	Буркина-Фасо		
Burundi	2	Бурунди	Бурунди		
Бурятия	1	Бурятия	Бурятия		
БурятияРеспублика	3	Бурятия	Бурятия		
Джида	1	Джида	Бурятия		
Кяхта	1	Кяхта	Бурятия		
Нижнеангарск	1	Нижнеангарск	Бурятия		
Нижнеудинск	1	Нижнеудинск	Бурятия		
Ulan-Ude	1	Улан-Удэ	Бурятия		
U-U	1	Улан-Удэ	Бурятия		
улан-удэ	1	Улан-Удэ	Бурятия		
Улан-Удэ	15	Улан-Удэ	Бурятия		
Bhutan	7	Бутан	Бутан		
Vanuatu	8	Вануату	Вануату		
VaticanCityState(HolySee)	10	Ватикан	Ватикан		
Enfield	1	?	Великобритания		
Aberdeen	1	Aberdeen	Великобритания		
Bath	1	Bath	Великобритания		
Birmingham	2	Birmingham	Великобритания		
Blackpool	1	Blackpool	Великобритания		
Bridgewater	1	Bridgewater	Великобритания		
Brightlingsea	1	Brightlingsea	Великобритания		
Bristol	2	Bristol	Великобритания		
Cambridge	10	Cambridge	Великобритания		
Cardiff	2	Cardiff	Великобритания		
CaymanIslands	2	Cayman Islands	Великобритания		
ChandlersFord	1	Chandlers Ford	Великобритания		
Coldstream	1	Coldstream	Великобритания		
Coleraine	1	Coleraine	Великобритания		
Cranfield	1	Cranfield	Великобритания		
Crawley	1	Crawley	Великобритания		
Darlington	1	Darlington	Великобритания		
Doncaster	1	Doncaster	Великобритания		
Dorset	1	Dorset	Великобритания		
Durham	1	Durham	Великобритания		
EastSussex	2	East Sussex	Великобритания		
Edinburgh	3	Edinburgh	Великобритания		
Glasgow	3	Glasgow	Великобритания		
Grantham	1	Grantham	Великобритания		
Hampshire	1	Hampshire	Великобритания		
Hampshire/Dorset	1	Hampshire	Великобритания		
Hastings	1	Hastings	Великобритания		
HemelHempstead	1	Hemel Hempstead	Великобритания		
Highgate	1	Highgate	Великобритания		
IsleofMan	4	Isle of Man	Великобритания		
Kent	1	Kent	Великобритания		
Lancaster	1	Lancaster	Великобритания		
Leeds	4	Leeds	Великобритания		
Liverpool	3	Liverpool	Великобритания		
GreaterLondon	1	London	Великобритания		
Greenford	1	London	Великобритания		
LDN	1	London	Великобритания		
london	4	London	Великобритания		
London	135	London	Великобритания		
Лондон	5	London	Великобритания		
Middlesex	1	Middlesex	Великобритания		
Midlothian	1	Midlothian	Великобритания		
MiltonKeynes	1	Milton Keynes	Великобритания		
MiltonKeynesandLondon	1	Milton Keynes, London	Великобритания		
Musselburgh	1	Musselburgh	Великобритания		
Nantwich	1	Nantwich	Великобритания		
NewcastleuponTyne	1	Newcastle upon Tyne	Великобритания		
NewcastleUponTyne	2	Newcastle upon Tyne	Великобритания		
Newcastle-under-Lyme	1	Newcastle-under-Lyme	Великобритания		
Norfolk	1	Norfolk	Великобритания		
Norwich	1	Norwich	Великобритания		
Nottinghamshire	1	Nottinghamshire	Великобритания		
Oxford	7	Oxford	Великобритания		
Poole	1	Poole	Великобритания		
Portishead	1	Portishead	Великобритания		
Portsmouth	1	Portsmouth	Великобритания		
Ramsgate	1	Ramsgate	Великобритания		
Reading	1	Reading	Великобритания		
reading	1	Reading	Великобритания		
Ringwood	1	Ringwood	Великобритания		
Seaford	1	Seaford	Великобритания		
Sheffield	3	Sheffield	Великобритания		
Somerset	2	Somerset	Великобритания		
SouthWales	1	South Wales	Великобритания		
Southampton	1	Southampton	Великобритания		
Stockton-on-Tees	1	Stockton-on-Tees	Великобритания		
Stratford-upon-Avon	1	Stratford-upon-Avon	Великобритания		
Taunton	1	Taunton	Великобритания		
WestMalling	1	West Malling	Великобритания		
Winchester	2	Winchester	Великобритания		
Windsor	1	Windsor	Великобритания		
Йоркшир	1	Yorkshire	Великобритания		
LondonBoroughofBromley	1	Великобритания	Великобритания		
UnitedKingdom	46	Великобритания	Великобритания		
Scotland	5	Шотландия	Великобритания		
Budapesht	1	Budapest	Венгрия		
Budapest	6	Budapest	Венгрия		
Будапешт	1	Budapest	Венгрия		
Mosonmagyaróvár	1	Mosonmagyaróvár	Венгрия		
Hungary	9	Венгрия	Венгрия		
Barquisimeto	1	Barquisimeto	Венесуэла		
Caracas	3	Caracas	Венесуэла		
Venezuela	2	Венесуэла	Венесуэла		
Vinnitsa	10	Винница	Винницкая область		
Vinnitsya	1	Винница	Винницкая область		
Vinnitza	1	Винница	Винницкая область		
Vinnytsja	1	Винница	Винницкая область		
Vinnytsya	1	Винница	Винницкая область		
Винница	16	Винница	Винницкая область		
Вінниця	5	Винница	Винницкая область		
Жмеринка	1	Жмеринка	Винницкая область		
Казатин	1	Казатин	Винницкая область		
Крыжополь	2	Крыжополь	Винницкая область		
Шаргород	1	Шаргород	Винницкая область		
Вінниця/Київ	1	Винница, Киев	Винницкая область, Киев		
Braslav	1	Браслав	Витебская область		
Viciebsk	1	Витебск	Витебская область		
Vitebsk	19	Витебск	Витебская область		
витебск	1	Витебск	Витебская область		
Витебск	7	Витебск	Витебская область		
Віцебск	5	Витебск	Витебская область		
Віцебскіпаўсюль	1	Витебск	Витебская область		
Navapolatsk	1	Новополоцк	Витебская область		
Novopolotsk	2	Новополоцк	Витебская область		
Novopolozk	1	Новополоцк	Витебская область		
Новополоцк	5	Новополоцк	Витебская область		
Orsha	3	Орша	Витебская область		
Орша	2	Орша	Витебская область		
Polotsk	1	Полоцк	Витебская область		
Полацк	1	Полоцк	Витебская область		
Полоцк	2	Полоцк	Витебская область		
Толочин	1	Толочин	Витебская область		
Александров	2	Александров	Владимирская область		
Vladimir	7	Владимир	Владимирская область		
Владимир	68	Владимир	Владимирская область		
г.Владимир	1	Владимир	Владимирская область		
ВладимириГусь-Хрустальный	1	Владимир, Гусь-Хрустальнй	Владимирская область		
